DATESTAMP,influent bod (mg/L),influent flow (mgd),max influent flow (mgd),influent tss (mg/L),influent salinity (mg/L),influent sulfide (mg/L),rainfall (inches)
4/26/2023,,1.09,1.45,,9.1,0,0
4/27/2023,,1.19,1.54,,,,0.05
4/28/2023,,1.19,1.54,,,,0
4/29/2023,,2.53,8.45,,,,0.5
4/30/2023,,1.3,2.23,,,,1.01
5/1/2023,,2.23,3.27,,,,0
5/2/2023,100,1.88,2.18,139,,,0.27
5/3/2023,,1.81,2.2,,4.7,0,0.27
5/4/2023,,1.74,2.12,,,,0.01
5/5/2023,,1.61,1.93,,,,0
5/6/2023,,1.53,1.97,,,,0
5/7/2023,,1.53,1.95,,,,0
5/8/2023,,1.5,1.81,,,,0
5/9/2023,190,1.43,1.79,177,,,0
5/10/2023,,1.3,1.65,,8.4,0,0
5/11/2023,,1.25,1.72,,,,0.08
5/12/2023,,1.25,1.63,,,,0.01
5/13/2023,,1.25,1.62,,,,0
5/14/2023,,1.31,2.43,,,,0
5/15/2023,,1.24,1.72,,,,0
5/16/2023,190,1.21,1.62,253,,,0
5/17/2023,,1.35,2.2,,7.2,0,0
5/18/2023,,1.23,2.16,,,,0
5/19/2023,,1.18,2.07,,,,0
5/20/2023,,1.15,1.66,,,,2.97
5/21/2023,,1.73,3.25,,,,0
5/22/2023,,1.41,2.12,,,,0
5/23/2023,170,1.3,2.1,202,,,0
5/24/2023,,1.18,1.59,,5.2,0,0.07
5/25/2023,,1.19,1.68,,,,0
5/26/2023,,1.13,1.68,,,,0
5/27/2023,,1.1,1.68,,,,0
5/28/2023,,1.07,1.66,,,,0
5/29/2023,,1.12,2.09,,,,0
5/30/2023,150,1.04,5.71,189,,,0
5/31/2023,,1.06,6.23,,4.7,0,0
6/1/2023,,1.01,4.86,,,,0
6/2/2023,,1.07,3.01,,,,0.44
6/3/2023,,1.25,2.17,,,,0.24
6/4/2023,,1.4,2.17,,,,0.06
6/5/2023,,1.52,2.19,,,,0.2
6/6/2023,110,1.52,2.18,169,,,0
6/7/2023,,1.47,2.18,,8.7,0,0
6/8/2023,,1.4,2.16,,,,0
6/9/2023,,1.36,2.2,,,,0.27
6/10/2023,,1.31,2.38,,,,0.3
6/11/2023,,1.34,7.04,,,,0
6/12/2023,,1.36,6.25,,,,0.37
6/13/2023,120,1.25,5.72,180,,,0
6/14/2023,,1.36,6.82,,7.7,0,0.26
6/15/2023,,1.35,2.21,,,,0
6/16/2023,,1.35,4.62,,,,0.01
6/17/2023,,1.38,2.22,,,,0.87
6/18/2023,,1.57,2.26,,,,0
6/19/2023,,1.38,2.21,,,,0
6/20/2023,190,1.24,1.69,232,,,0
6/21/2023,,1.18,2.04,,6.8,0,0
6/22/2023,,1.15,1.66,,,,0
6/23/2023,,1.14,5.39,,,,0.05
6/24/2023,,1.18,6.5,,,,0
6/25/2023,,1.31,679,,,,0.02
6/26/2023,,1.62,7.35,,,,0.61
6/27/2023,170,1.22,3.1,243,,,0.29
6/28/2023,,1.42,6.39,,6.8,0,0.25
6/29/2023,,2.31,2.31,,,,0
6/30/2023,,1.32,2.22,,,,0
7/1/2023,,1.33,2.25,,,,0
7/2/2023,,1.4,2.3,,,,0.26
7/3/2023,,1.81,3.23,,,,0.38
7/4/2023,140,1.88,3.25,166,,,0.48
7/5/2023,,1.81,2.34,,9.4,0,0
7/6/2023,,1.69,2.26,,,,0
7/7/2023,,1.61,2.26,,,,0
7/8/2023,,1.07,2.28,,,,0
7/9/2023,,1.56,7.11,,,,0
7/10/2023,,1.52,5.94,,,,0.74
7/11/2023,120,1.55,6.54,193,,,0
7/12/2023,,1.99,8.33,,7.4,0,0
7/13/2023,,2.31,8.41,,,,0.93
7/14/2023,,1.9,8.31,,,,0.01
7/15/2023,,2.02,8.22,,,,0.34
7/16/2023,,1.82,7.33,,,,2
7/17/2023,,3.45,4.53,,,,0
7/18/2023,110,2.17,3.27,169,,,0
7/19/2023,,1.81,2.15,,8.2,0,0
7/20/2023,,1.19,2.46,,,,0
7/21/2023,,1.01,2.44,,,,1.25
7/22/2023,,2.24,2.66,,,,0
7/23/2023,,1.61,2.61,,,,0
7/24/2023,,0.69,2.46,,,,0
7/25/2023,170,2.83,12.18,292,,,0.79
7/26/2023,,1.59,4.9,,3.1,0,0
7/27/2023,,1.81,8.22,,,,0.22
7/28/2023,,1.94,8.89,,,,0
7/29/2023,,2.6,8.91,,,,3.62
7/30/2023,,4.74,6.12,,,,0
7/31/2023,,3.02,4.27,,,,0
8/1/2023,90,2.4,3.69,139,,,0
8/2/2023,,2.09,3.51,,4.4,0,0
8/3/2023,,1.97,2.56,,,,0.01
8/4/2023,,1.92,2.37,,,,0
8/5/2023,,1.85,3.22,,,,0
8/6/2023,,1.75,2.25,,,,0
8/7/2023,,1.53,2.04,,,,0.15
8/8/2023,78,1.63,3.33,206,,,0.72
8/9/2023,,1.65,2.21,,7,0,0
8/10/2023,,1.48,2.11,,,,0
8/11/2023,,1.41,4.43,,,,0
8/12/2023,,1.41,4.91,,,,1.03
8/13/2023,,1.39,4.85,,,,0
8/14/2023,,1.32,4.97,,,,0.25
8/15/2023,72,1.36,3.63,233,,,0.35
8/16/2023,,1.36,1.98,,6.4,0,0
8/17/2023,,1.36,4.34,,,,0
8/18/2023,,1.57,5.02,,,,1.65
8/19/2023,,1.9,2.27,,,,0
8/20/2023,,1.62,2.23,,,,0
8/21/2023,,1.44,2.14,,,,0.47
8/22/2023,,1.54,2.15,143,,,0
8/23/2023,,1.39,5.12,,4.9,0,0
8/24/2023,,1.37,5.51,,,,0.73
8/25/2023,,1.73,3.57,,,,0.84
8/26/2023,,1.88,3.35,,,,0.12
8/27/2023,,1.72,2.3,,,,0
8/28/2023,,1.58,2.17,,,,0
8/29/2023,95,1.51,2.2,109,,,0.33
8/30/2023,,1.74,2.27,,5.7,0,0.27
8/31/2023,,1.74,2.28,,,,0
9/1/2023,,1.72,2.31,,,,0
9/2/2023,,1.7,2.35,,,,0
9/3/2023,,1.73,2.38,,,,0
9/4/2023,,1.76,3.34,,,,0
9/5/2023,140,1.64,2.42,277,,,0
9/6/2023,,1.58,2.39,,10.6,0,0
9/7/2023,,1.51,2.37,,,,0
9/8/2023,,1.44,2.37,,,,0
9/9/2023,,1.37,2.39,,,,0
9/10/2023,,1.71,3.06,,,,0.55
9/11/2023,,2.1,4.47,,,,2.25
9/12/2023,57,3.2,4.49,135,,,0
9/13/2023,,2.42,3.84,,3.1,0,1.02
9/14/2023,,2.65,4.1,,,,0
9/15/2023,,2.21,2.61,,,,0.04
9/16/2023,,2.26,2.78,,,,0.07
9/17/2023,,1.94,2.6,,,,0.04
9/18/2023,59,2,3.3,149,,,1.3
9/19/2023,,2.81,3.23,,,,0
9/20/2023,,2.21,2.65,,4.9,0,0
9/21/2023,,1.93,3.31,,,,0
9/22/2023,,1.82,2.67,,,,0
9/23/2023,,1.69,2.27,,,,0
9/24/2023,,1.78,3.44,,,,0.08
9/25/2023,,1.91,3.46,,,,0.72
9/26/2023,51,1.88,3.28,142,,,0
9/27/2023,,1.82,2.36,,6.6,0,0
9/28/2023,,1.76,2.96,,,,0
9/29/2023,,1.8,3.32,,,,0.41
9/30/2023,,1.92,3.61,,,,0
10/1/2023,,1.9,3.53,,,,0
10/2/2023,,1.83,3.41,,,,0
10/3/2023,110,1.71,2.32,206,,,0
10/4/2023,,1.59,2.16,,8.5,0,0
10/5/2023,,1.55,2.21,,,,0
10/6/2023,,1.44,2.08,,,,0
10/7/2023,,1.44,2.34,,,,0.24
10/8/2023,,1.61,2.22,,,,0
10/9/2023,,1.49,5.16,,,,0
10/10/2023,150,1.45,4.74,250,,,0.06
10/11/2023,,1.41,4.77,,8.5,0,0
10/12/2023,,1.45,4.84,,,,0
10/13/2023,,1.52,4.99,,,,0
10/14/2023,,1.48,5.29,,,,0
10/15/2023,,1.55,6.23,,,,0
10/16/2023,,1.66,2.41,,,,0.04
10/17/2023,75,1.56,2.22,552,,,0.03
10/18/2023,,1.44,1.94,,11,0,0
10/19/2023,,1.35,1.93,,,,0
10/20/2023,,1.35,2.36,,,,0.07
10/21/2023,,1.59,3.6,,,,1
10/22/2023,,1.71,2.38,,,,0
10/23/2023,,1.51,2.38,,,,0
10/24/2023,260,1.48,5.56,618,,,0
10/25/2023,,1.69,7.38,,9.1,0,0
10/26/2023,,1.85,8.18,,,,0
10/27/2023,,1.51,2.48,,,,0
10/28/2023,,1.68,6.46,,,,0
10/29/2023,,2.01,8.98,,,,0.03
10/30/2023,,1.89,7.7,,,,0.58
10/31/2023,84,1.78,2.39,165,,,0
11/1/2023,,1.71,2.39,,10.5,1,0.27
11/2/2023,,1.63,2.39,,,,0
11/3/2023,,1.49,2.39,,,,0
11/4/2023,,1.39,1.76,,,,0
11/5/2023,,1.35,5.05,,,,0
11/6/2023,,1.38,2.4,,,,0.11
11/7/2023,370,1.33,2.28,482,,,0.09
11/8/2023,,1.34,4.39,,9.8,4,0.02
11/9/2023,,1.34,5.05,,,,0.17
11/10/2023,,1.36,5.14,,,,0
11/11/2023,,2.82,10.3,,,,0
11/12/2023,,6.22,11.28,,,,0
11/13/2023,,8.6,12.87,,,,0
11/14/2023,110,2.97,8.39,414,,,0
11/15/2023,,2.9,9.43,,9.4,0,0
11/16/2023,,2.12,8.83,,,,0
11/17/2023,,1.38,2.32,,,,0
11/18/2023,,1.45,2.41,,,,0
11/19/2023,,1.45,2.41,,,,0
11/20/2023,,1.41,2.31,,,,0
11/21/2023,250,1.38,2.4,504,,,0.77
11/22/2023,,1.75,3.29,,12.7,0,0.84
11/23/2023,,1.94,3.34,,,,0
11/24/2023,,1.71,2.47,,,,0
11/25/2023,,1.61,2.46,,,,0
11/26/2023,,1.62,2.47,,,,0
11/27/2023,,1.87,3.44,,,,0
11/28/2023,200,1.8,2.5,319,,,0
11/29/2023,,1.66,3.38,,8.6,0,0
11/30/2023,,2.96,11.42,,,,0
12/1/2023,,7.67,12.31,,,,0.18
12/2/2023,,7.69,13.69,,,,0.57
12/3/2023,,7.74,14.6,,,,0.49
12/4/2023,,8.64,14.42,,,,0.11
12/5/2023,170,3.14,12.92,173,,,0
12/6/2023,,3.14,12.91,,,,0.01
12/7/2023,,5.49,11.85,,,,0
12/8/2023,,5.2,11.66,,,,0
12/9/2023,,6.36,11.94,,,,0
12/10/2023,,5.86,12.7,,,,3.25
12/11/2023,,3.7,10.37,,,,0.33
12/12/2023,98,2.87,3.83,548,,,0
12/13/2023,,2.44,3.75,,4.4,0,0
12/14/2023,,1.46,3.54,,,,0
12/15/2023,,1.91,2.64,,,,0
12/16/2023,,0.78,2.33,,,,0
12/17/2023,,1.76,3.45,,,,0.36
12/18/2023,,3.26,5.3,,,,0.82
12/19/2023,170,3.83,4.62,199,,,0
12/20/2023,,2.11,3.51,,5.6,0,0
12/21/2023,,2.12,3.5,,,,0
12/22/2023,,2.22,3.31,,,,0
12/23/2023,,2.05,3.18,,,,0
12/24/2023,,2,3.19,,,,0
12/25/2023,,1.88,2.46,,,,0
12/26/2023,220,1.86,3.2,346,,,0
12/27/2023,,1.79,2.44,,7.2,0,0.17
12/28/2023,,1.93,3.39,,,,0.64
12/29/2023,,2.55,3.76,,,,0.04
12/30/2023,,1.91,3.27,,,,1.16
12/31/2023,,1.65,2.53,,,,0
1/1/2024,,1.66,2.6,,,,0
1/2/2024,77,1.99,2.46,243,,,0
1/3/2024,,1.83,2.41,,6.5,0,0
1/4/2024,,1.77,2.46,,,,0
1/5/2024,,1.66,2.28,,,,0
1/6/2024,,1.59,2.39,,,,0.05
1/7/2024,,1.68,3.82,,,,0.7
1/8/2024,,0.98,3.46,,,,0
1/9/2024,340,2.6,3.4,498,,,0.61
1/10/2024,,5.07,6.18,,1.6,0,2.83
1/11/2024,,4.89,5.6,,,,0
1/12/2024,,4.24,6.09,,,,0.66
1/13/2024,,3.74,6.42,,,,0.05
1/14/2024,,2.14,4.95,,,,0
1/15/2024,,2.8533,3.72,,,,0
1/16/2024,500,2.97,4.12,363,,,0.74
1/17/2024,,3.22,3.85,,5.9,0,0
1/18/2024,,2.53,2.95,,,,0
1/19/2024,,2.25,2.88,,,,0
1/20/2024,,2.15,2.88,,,,0.01
1/21/2024,,2.04,2.86,,,,0
1/22/2024,,1.89,2.94,,,,0
1/23/2024,440,1.82,3.75,292,,,0.03
1/24/2024,,1.48,2.9,,7.8,0,0.6
1/25/2024,,1.83,2.29,,,,0.22
1/26/2024,,2.47,4.08,,,,0.31
1/27/2024,,0.85,2.75,,,,0.01
1/28/2024,,1.18,2.18,,,,0.45
1/29/2024,,3.04,3.46,,,,0.05
1/30/2024,600,2.69,2.93,425,,,0.01
1/31/2024,,2.3,2.7,,3.4,0,0
2/1/2024,,1.99,2.75,,,,0
2/2/2024,,1.69,2.58,,,,0.01
2/3/2024,,1.69,2.69,,,,0
2/4/2024,,1.72,2.69,,,,0
2/5/2024,,1.72,2.8,,,,0
2/6/2024,200,1.61,2.69,311,,,0
2/7/2024,,1.65,2.78,,6.8,0,0
2/8/2024,,1.6,2.7,,,,0
2/9/2024,,1.6,2.77,,,,0
2/10/2024,,1.63,3.4,,,,0.04
2/11/2024,,1.43,3.21,,,,0
2/12/2024,,1.73,2.56,,,,0
2/13/2024,160,2.15,3.44,171,,,0.5
2/14/2024,,2.09,2.66,,12.7,0,0
2/15/2024,,1.59,2.43,,,,0.04
2/16/2024,,1.56,2.74,,,,0
2/17/2024,,1.48,2.28,,,,0
2/18/2024,,1.4,2.28,,,,0
2/19/2024,,1.28,2.22,,,,0
2/20/2024,130,1.22,2.18,106,,,0
2/21/2024,,1.18,4.55,,4.1,0,0
2/22/2024,,1.21,2.41,,,,0.02
2/23/2024,,1.27,2.56,,,,0.03
2/24/2024,,1.31,2.49,,,,0
2/25/2024,,1.26,2.59,,,,0
2/26/2024,,1.37,4.61,,,,0
2/27/2024,140,1.11,1.64,180,,,0.37
2/28/2024,,1.32,2.48,,5.7,0,0.59
2/29/2024,,1.34,1.89,,,,0
3/1/2024,,1.2,1.94,,,,0
3/2/2024,,1.17,1.91,,,,0.73
3/3/2024,,1.92,2.8,,,,0.37
3/4/2024,,1.74,2.03,,,,0
3/5/2024,160,1.65,2.42,209,,,0.13
3/6/2024,,1.63,2.46,,3.7,0,1.28
3/7/2024,,3.48,4.85,,,,0.04
3/8/2024,,3.01,4.22,,,,0
3/9/2024,,2.62,3.36,,,,0.03
3/10/2024,,3.72,5.9,,,,1.08
3/11/2024,,3.32,5.78,,,,0
3/12/2024,150,1.79,4.84,76,,,0
3/13/2024,,2.44,6.09,,3.3,0,0
3/14/2024,,2.22,2.67,,,,0
3/15/2024,,2.02,2.29,,,,0
3/16/2024,,1.9,2.6,,,,0
3/17/2024,,1.77,2.54,,,,0.02
3/18/2024,,1.65,2.71,,,,0
3/19/2024,150,1.53,2.44,129,,,0
3/20/2024,,1.49,4.22,,4.3,2,0.08
3/21/2024,,1.44,1.88,,,,0
3/22/2024,,1.24,1.84,,,,0.09
3/23/2024,,1.44,5.82,,,,2.15
3/24/2024,,4.61,5.92,,,,0
3/25/2024,,2.75,3.23,,,,0
3/26/2024,60,2.49,2.98,96,,,0.05
3/27/2024,,2.19,2.69,,5.1,0,0.61
3/28/2024,,2.68,5.45,,,,3.4
3/29/2024,,5.24,6.19,,,,0.56
3/30/2024,,3.67,4.44,,,,0
3/31/2024,,1.79,3.24,,,,0
4/1/2024,,2.38,4.72,,,,0
4/2/2024,130,1.92,3.28,181,,,0.11
4/3/2024,,1.83,2.86,,3.3,0,1.59
4/4/2024,,4.23,6.47,,,,0.81
4/5/2024,,4.49,5.41,,,,0.21
4/6/2024,,2.98,5.07,,,,0.02
4/7/2024,,2.53,3.97,,,,0
4/8/2024,,2.64,6.49,,,,0
4/9/2024,85,2.57,3.26,113,,,0
4/10/2024,,1.53,3.15,,6.3,0,0.02
4/11/2024,,1.76,2.88,,,,0.52
4/12/2024,,2.54,3.65,,,,0.41
4/13/2024,,2.54,3.2,,,,0
4/14/2024,,1.54,3.14,,,,0
4/15/2024,,1.89,2.89,,,,0
4/16/2024,100,1.78,2.68,125,,,0
4/17/2024,,1.64,2.42,,3.7,0,0
4/18/2024,,1.57,1.99,,,,0.15
4/19/2024,,1.54,2,,,,0
4/20/2024,,1.59,2.67,,,,0.29
4/21/2024,,1.61,2.6,,,,0
4/22/2024,,1.52,1.94,,,,0
4/23/2024,160,1.43,1.81,182,,,0
4/24/2024,,1.45,1.98,,3.4,0,0.04
4/25/2024,,1.42,1.77,,,,0
4/26/2024,,1.34,2.27,,,,0
4/27/2024,,1.31,2.28,,,,0
4/28/2024,,1.33,1.88,,,,0.01
4/29/2024,,1.31,1.83,,,,0.16
4/30/2024,220,1.31,1.85,302,,,0.17
5/1/2024,,1.27,1.79,,8.5,0,0
5/2/2024,,1.26,3.66,,,,0.1
5/3/2024,,1.28,1.77,,,,0
5/4/2024,,1.32,5.63,,,,0
5/5/2024,,1.28,1.93,,,,0.37
5/6/2024,,1.41,2.75,,,,0.11
5/7/2024,160,1.46,5.38,185,,,0
5/8/2024,,1.59,2.4,,,0,0.63
5/9/2024,,1.69,2.54,,,,0
5/10/2024,,1.62,2.43,,,,0
5/11/2024,,1.58,1.93,,,,0
5/12/2024,,1.53,1.95,,,,0
5/13/2024,,1.39,1.8,,,,0
5/14/2024,180,1.28,1.83,242,,,0
5/15/2024,,1.22,5.17,,7.7,0,0.16
5/16/2024,,1.49,2.51,,,,0.39
5/17/2024,,1.49,1.98,,,,0
5/18/2024,,1.41,2.68,,,,0.1
5/19/2024,,1.92,2.96,,,,0.17
5/20/2024,,1.81,3.5,,,,0
5/21/2024,120,1.72,2.02,137,,,0
5/22/2024,,1.63,1.99,,4.6,0,0
5/23/2024,,1.66,2.79,,,,0.72
5/24/2024,,1.81,2.02,,,,0
5/25/2024,,1.7,1.97,,,,0.04
5/26/2024,,1.65,1.99,,,,0
5/27/2024,,1.6,1.97,,,,0.38
5/28/2024,170,1.66,1.99,217,,,0
5/29/2024,,1.53,2.34,,7.6,0,0.25
5/30/2024,,2.03,3.88,,,,1.09
5/31/2024,,2.51,4.76,,,,0
6/1/2024,,2.19,2.75,,,,0
6/2/2024,,1.85,3.21,,,,0
6/3/2024,,1.74,2.65,,,,0
6/4/2024,54,1.67,2.57,143,,,0
6/5/2024,,1.64,2.6,,,0,0
6/6/2024,,1.72,2.74,,,,0
6/7/2024,,1.82,2.58,,,,0.05
6/8/2024,,1.78,2.89,,,,0
6/9/2024,,1.62,3.04,,,,0.23
6/10/2024,,1.55,2.47,,,,0
6/11/2024,200,1.41,2.4,288,,,0
6/12/2024,,1.34,3.58,,8,0,0
6/13/2024,,1.26,2.14,,,,0
6/14/2024,,1.26,2.63,,,,0.46
6/15/2024,,1.5,3.23,,,,0
6/16/2024,,1.33,2.56,,,,0
6/17/2024,,1.22,1.74,,,,0
6/18/2024,120,1.17,1.71,140,,,0
6/19/2024,,1.19,2.29,,4.9,0.1,0
6/20/2024,,1.21,3.97,,,,0.13
6/21/2024,,1.23,2.41,,,,0.65
6/22/2024,,1.42,2.43,,,,0.18
6/23/2024,,1.43,2.48,,,,0.09
6/24/2024,,1.42,2.31,,,,0.2
6/25/2024,220,1.46,2.31,399,,,0
6/26/2024,,1.41,2.26,,10.4,0,1.05
6/27/2024,,1.59,2.75,,,,0.3
6/28/2024,,1.42,2.32,,,,0
6/29/2024,,1.34,2.5,,,,0
6/30/2024,,1.34,2.54,,,,0.02
7/1/2024,,1.3,2.42,,,,0.26
7/2/2024,300,1.31,2.27,388,,,0
7/3/2024,,1.33,2.26,,5.7,0.8,0
7/4/2024,,1.44,2.31,,,,0
7/5/2024,,1.54,3.86,,,,0.51
7/6/2024,,1.54,2.45,,,,0.01
7/7/2024,,1.45,2.1,,,,0
7/8/2024,,1.33,1.69,,,,0
7/9/2024,350,1.27,3.6,473,,,0.06
7/10/2024,,1.21,1.69,,8.7,1,0
7/11/2024,,1.21,5.73,,,,0
7/12/2024,,1.18,5.84,,,,0.04
7/13/2024,,1.24,6.15,,,,0.24
7/14/2024,,1.23,6.07,,,,0
7/15/2024,,1.26,6.15,,,,0.04
7/16/2024,260,1.27,5.72,215,,,0
7/17/2024,,1.2,6.03,,5,1,0.47
7/18/2024,,1.25,4.6,,,,0.22
7/19/2024,,1.25,6.31,,,,0
7/20/2024,,1.29,5.74,,,,0
7/21/2024,,1.32,1.9,,,,0
7/22/2024,,1.3,1.64,,,,0
7/23/2024,160,1.34,3.49,348,,,0.01
7/24/2024,,1.36,1.7,,11.9,0.6,0.19
7/25/2024,,1.33,1.78,,,,0.26
7/26/2024,,1.32,1.8,,,,0
7/27/2024,,1.3,1.91,,,,0
7/28/2024,,1.3,5.7,,,,0
7/29/2024,,1.22,1.83,,,,0
7/30/2024,260,1.27,6.03,223,,,0.03
7/31/2024,,1.28,6.29,,8.5,1,0
8/1/2024,,1.28,6.13,,,,0
8/2/2024,,1.28,5.85,,,,0
8/3/2024,,1.28,5.56,,,,0
8/4/2024,,1.37,2.47,,,,0.08
8/5/2024,,1.39,5.17,,,,0.14
8/6/2024,190,1.39,4.14,259,,,0.82
8/7/2024,,1.4,1.78,,7.2,0,0
8/8/2024,,1.32,4.97,,,,0.22
8/9/2024,,1.3,1.73,,,,0.58
8/10/2024,,1.5,1.92,,,,0
8/11/2024,,1.36,1.95,,,,0
8/12/2024,,1.32,6.32,,,,0.01
8/13/2024,220,1.28,6.38,251,,,0
8/14/2024,,1.26,6.45,,6.5,3,0
8/15/2024,,1.34,6.21,,,,0.25
8/16/2024,,1.29,6.44,,,,0
8/17/2024,,1.27,6.23,,,,0
8/18/2024,,1.35,6.05,,,,0
8/19/2024,,1.44,3.39,,,,0.1
8/20/2024,360,1.6,2.58,326,,,0.14
8/21/2024,,1.56,1.96,,13,6,0
8/22/2024,,1.55,1.99,,,,0
8/23/2024,,1.49,1.96,,,,0
8/24/2024,,1.13,2.01,,,,0
8/25/2024,,1.41,2.02,,,,0
8/26/2024,,1.33,6.29,,,,0
8/27/2024,380,1.3,6.6,235,,,0
8/28/2024,,1.26,5.95,,7.4,3,0
8/29/2024,,1.31,6.61,,,,0
8/30/2024,,1.31,6.64,,,,0
8/31/2024,,1.34,6.27,,,,0
9/1/2024,,1.37,6.56,,,,0
9/2/2024,,1.36,5.94,,,,0
9/3/2024,230,1.27,6.38,441,,,0
9/4/2024,,1.16,6.01,,11.1,2,0
9/5/2024,,1.18,6.06,,,,0
9/6/2024,,1.06,5.86,,,,0
9/7/2024,,1.1,2.26,,,,0
9/8/2024,,1.11,2.33,,,,0
9/9/2024,,1.09,5.99,,,,0
9/10/2024,340,1.01,5.08,268,,,0
9/11/2024,,0.97,2.24,,9.7,3,0
9/12/2024,,1.04,5.71,,,,0
9/13/2024,,0.99,2.79,,,,0
9/14/2024,,0.93,5.6,,,,0
9/15/2024,,1.04,2.83,,,,0
9/16/2024,,1.02,1.64,,,,0
9/17/2024,220,1.02,2.78,274,,,0
9/18/2024,,1.17,2.6,,8.4,1.5,0
9/19/2024,,1.4,2.77,,,,0.1
9/20/2024,,1.77,2.89,,,,0.82
9/21/2024,,1.86,3.03,,,,0.47
9/22/2024,,1.72,3.34,,,,0.06
9/23/2024,,1.53,3.73,,,,0
9/24/2024,170,1.32,3.49,235,,,0
9/25/2024,,1.31,5.25,,13.5,0,0
9/26/2024,,1.13,2.07,,,,0.36
9/27/2024,,0.81,2.06,,,,0
9/28/2024,,0,0,,,,0
9/29/2024,,0,0,,,,0
9/30/2024,,0,0,,,,0
10/1/2024,,1.07,0,263,,,0
10/2/2024,,1.08,1.62,,11.2,0,0
10/3/2024,,1.08,1.52,,,,0
10/4/2024,,0.9,1.32,,,,0
10/5/2024,,0.87,1.59,,,,0
10/6/2024,,0.91,1.47,,,,0
10/7/2024,,1.02,1.45,,,,0.37
10/8/2024,,1.02,1.37,289,,,0.11
10/9/2024,,0.97,1.4,,10.8,0.1,0
10/10/2024,,0.79,1.35,,,,0
10/11/2024,,0.82,1.42,,,,0
10/12/2024,,0.6,1.14,,,,0
10/13/2024,,0.51,1.43,,,,0.04
10/14/2024,,0.78,1.77,,,,0.02
10/15/2024,,0.84,1.69,331,,,0
10/16/2024,,0.93,1.54,,10.9,0,0
10/17/2024,,0.97,1.65,,,,0
10/18/2024,,1.17,2.06,,,,0
10/19/2024,,1.17,1.96,,,,0
10/20/2024,,0.95,2,,,,0
10/21/2024,,0.82,3.23,,,,0
10/22/2024,,0.9,3.73,364,,,0
10/23/2024,,0.85,1.23,,12.3,2,0
10/24/2024,,0.9,0.92,,,,0
10/25/2024,,0.91,1.5,,,,0
10/26/2024,,0.66,1.33,,,,0
10/27/2024,,0.59,1.21,,,,0
10/28/2024,,0.76,1.42,,,,0
10/29/2024,,0.75,1.7,493,,,0.27
10/30/2024,,0.8,2.11,,6.2,5,0
10/31/2024,,0.76,1.95,,,,0
11/1/2024,,0.64,2.02,,,,0
11/2/2024,,0.66,2.79,,,,0
11/3/2024,,0.62,2.91,,,,0
11/4/2024,,0.61,2.47,,,,0
11/5/2024,340,0.61,5.95,394,,,0
11/6/2024,,0.57,1.81,,7.4,4,0
11/7/2024,,0.57,0.97,,,,0
11/8/2024,,0.55,1.46,,,,0.03
11/9/2024,,0.55,0.98,,,,0
11/10/2024,,0.57,1.12,,,,0.01
11/11/2024,,0.59,1.37,,,,0.06
11/12/2024,300,0.69,1.33,442,,,0
11/13/2024,,0.8,1.49,,12.2,2,0
11/14/2024,,1.24,6.56,,,,0
11/15/2024,,1.66,7.49,,,,0
11/16/2024,,1.22,2.38,,,,0
11/17/2024,,1.2,2.01,,,,0
11/18/2024,,1.12,2.12,,,,0.01
11/19/2024,180,1.06,1.73,323,,,0
11/20/2024,,1.01,1.41,,14.2,3,0.01
11/21/2024,,1,1.68,,,,1.19
11/22/2024,,1.31,1.83,,,,1.4
11/23/2024,,1.52,2.14,,,,1.35
11/24/2024,,1.18,1.95,,,,0
11/25/2024,260,0.9,1.36,296,,,0
11/26/2024,,0.89,1.28,,,0.1,0.15
11/27/2024,,0.96,1.57,,,,0
11/28/2024,,1.08,1.88,,,,1
11/29/2024,,1.19,1.76,,,,0
11/30/2024,,1.01,1.66,,,,0
12/1/2024,,0.95,1.57,,,,0
12/2/2024,,0.88,1.32,,,,0
12/3/2024,320,0.89,1.27,376,,,0
12/4/2024,,0.96,0.96,,6.8,6.8,0.64
12/5/2024,,1.03,1.35,,,,0.18
12/6/2024,,0.9,4.26,,,,0
12/7/2024,,0.82,1.36,,,,0
12/8/2024,,0.83,1.31,,,,0.18
12/9/2024,,0.81,1.34,,,,0.5
12/10/2024,220,1.09,1.67,238,,,0.22
12/11/2024,,1.62,4.68,,11.8,0,3.33
12/12/2024,,4.01,5.33,,,,1.51
12/13/2024,,2.23,3.51,,,,0
12/14/2024,,1.74,7.72,,,,0
12/15/2024,,1.54,2.29,,,,0
12/16/2024,,1.46,2.18,,,,0.23
12/17/2024,170,1.46,2.13,220,,,0
12/18/2024,,1.35,2.31,,5.2,2,0.96
12/19/2024,,1.81,2.35,,,,0.01
12/20/2024,,1.66,2.11,,,,0.78
12/21/2024,,1.83,2.17,,,,0
12/22/2024,,1.53,2.11,,,,0
12/23/2024,,1.3,2.45,,,,0
12/24/2024,,1.42,1.91,,,,0
12/25/2024,170,1.4,1.9,153,,,0
12/26/2024,,1.33,1.87,,4.2,0,0
12/27/2024,,1.25,1.99,,,,0.02
12/28/2024,,1.26,1.92,,,,0.57
12/29/2024,,1.23,1.94,,,,0
12/30/2024,,1.47,2.63,,,,1.93
12/31/2024,,1.57,2.55,,,,0
1/1/2025,340,1.83,3.19,432,,,0
1/2/2025,,1.8,2.05,,4.5,0,0
